上海文广,#genre#
法治天地,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227176/index.m3u8
生活时尚,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227091/index.m3u8
金色学堂,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227208/index.m3u8
欢笑剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227145/index.m3u8
都市剧场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227204/index.m3u8
动漫秀场,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227071/index.m3u8
游戏风云,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227075/index.m3u8

乐游,rtsp://183.252.176.54/PLTV/88888888/224/3221226774/45278849.smil
东方财经,rtsp://183.252.176.54/PLTV/88888888/224/3221226057/10000100000000060000000002296898_0.smil
生活时尚,rtsp://183.252.176.54/PLTV/88888888/224/3221226749/45935750.smil
欢笑剧场,rtsp://183.252.176.54/PLTV/88888888/224/3221226717/45278772.smil
都市剧场,rtsp://183.252.176.54/PLTV/88888888/224/3221226747/45934978.smil
动漫秀场,rtsp://183.252.176.54/PLTV/88888888/224/3221226740/45934709.smil
游戏风云,rtsp://183.252.176.54/PLTV/88888888/224/3221226745/45934838.smil
金色学堂,rtsp://183.252.176.54/PLTV/88888888/224/3221226056/10000100000000060000000002296897_0.smil

动漫秀场,http://112.50.243.8/PLTV/88888888/224/3221227071/1.m3u8
都市剧场,http://112.50.243.8/PLTV/88888888/224/3221227204/1.m3u8
欢笑剧场,http://112.50.243.8/PLTV/88888888/224/3221227145/1.m3u8
乐游,http://112.50.243.8/PLTV/88888888/224/3221227083/1.m3u8
生活时尚,http://112.50.243.8/PLTV/88888888/224/3221227091/1.m3u8
游戏风云,http://112.50.243.8/PLTV/88888888/224/3221227075/1.m3u8

东方影视,http://111.40.196.28/wh7f454c46tw1127318098_1235980081/PLTV/88888888/224/322122
