央视频道,#genre#
CCTV-1 综合,http://39.135.55.105:6610/PLTV/88888888/224/3221226995/index.m3u8?servicetype=1
CCTV-2 财经,http://39.135.55.105:6610/PLTV/88888888/224/3221225800/index.m3u8?servicetype=1
CCTV-2 财经,http://39.135.55.105:6610/PLTV/88888888/224/3221226795/index.m3u8?servicetype=1
CCTV-2 财经,http://39.135.55.105:6610/PLTV/88888888/224/3221225923/index.m3u8?servicetype=1
CCTV-2 财经,http://39.135.55.105:6610/PLTV/88888888/224/3221226915/index.m3u8?servicetype=1
CCTV-3 综艺,http://39.135.55.105:6610/PLTV/88888888/224/3221227055/index.m3u8?servicetype=1
CCTV-4 中文国际,http://39.135.55.105:6610/PLTV/88888888/224/3221225802/index.m3u8?servicetype=1
CCTV-4 中文国际,http://39.135.55.105:6610/PLTV/88888888/224/3221226968/index.m3u8?servicetype=1
CCTV-4 中文国际,http://39.135.55.105:6610/PLTV/88888888/224/3221225802/index.m3u8?servicetype=1
CCTV-4 中文国际,http://39.135.55.105:6610/PLTV/88888888/224/3221226968/index.m3u8?servicetype=1
CCTV-5 体育,http://39.135.55.105:6610/PLTV/88888888/224/3221227170/index.m3u8?servicetype=1
CCTV-5+ 体育赛事,http://39.135.55.105:6610/PLTV/88888888/224/3221225821/index.m3u8?servicetype=1
CCTV-5+ 体育赛事,http://39.135.55.105:6610/PLTV/88888888/224/3221225939/index.m3u8?servicetype=1
CCTV-5+ 体育赛事,http://39.135.55.105:6610/PLTV/88888888/224/3221226919/index.m3u8?servicetype=1
CCTV-6 电影,http://39.135.55.105:6610/PLTV/88888888/224/3221227137/index.m3u8?servicetype=1
CCTV-7 国防军事,http://39.135.55.105:6610/PLTV/88888888/224/3221225805/index.m3u8?servicetype=1
CCTV-7 国防军事,http://39.135.55.105:6610/PLTV/88888888/224/3221225927/index.m3u8?servicetype=1
CCTV-7 国防军事,http://39.135.55.105:6610/PLTV/88888888/224/3221226972/index.m3u8?servicetype=1
CCTV-8 电视剧,http://39.135.55.105:6610/PLTV/88888888/224/3221227174/index.m3u8?servicetype=1
CCTV-9 纪录,http://39.135.55.105:6610/PLTV/88888888/224/3221225820/index.m3u8?servicetype=1
CCTV-9 纪录,http://39.135.55.105:6610/PLTV/88888888/224/3221226923/index.m3u8?servicetype=1
CCTV-9 纪录,http://39.135.55.105:6610/PLTV/88888888/224/3221225929/index.m3u8?servicetype=1
CCTV-10 科教,http://39.135.55.105:6610/PLTV/88888888/224/3221225814/index.m3u8?servicetype=1
CCTV-10 科教,http://39.135.55.105:6610/PLTV/88888888/224/3221225931/index.m3u8?servicetype=1
CCTV-10 科教,http://39.135.55.105:6610/PLTV/88888888/224/3221226976/index.m3u8?servicetype=1
CCTV-11 戏曲,http://39.135.55.105:6610/PLTV/88888888/224/3221225815/index.m3u8?servicetype=1
CCTV-11 戏曲,http://39.135.55.105:6610/PLTV/88888888/224/3221226927/index.m3u8?servicetype=1
CCTV-12 社会与法,http://39.135.55.105:6610/PLTV/88888888/224/3221225816/index.m3u8?servicetype=1
CCTV-12 社会与法,http://39.135.55.105:6610/PLTV/88888888/224/3221225932/index.m3u8?servicetype=1
CCTV-12 社会与法,http://39.135.55.105:6610/PLTV/88888888/224/3221226931/index.m3u8?servicetype=1
CCTV-13 新闻,http://39.135.55.105:6610/PLTV/88888888/224/3221225817/index.m3u8?servicetype=1
CCTV-13 新闻,http://39.135.55.105:6610/PLTV/88888888/224/3221226985/index.m3u8?servicetype=1
CCTV-14 少儿,http://39.135.55.105:6610/PLTV/88888888/224/3221225819/index.m3u8?servicetype=1
CCTV-14 少儿,http://39.135.55.105:6610/PLTV/88888888/224/3221225933/index.m3u8?servicetype=1
CCTV-14 少儿,http://39.135.55.105:6610/PLTV/88888888/224/3221227086/index.m3u8?servicetype=1
CCTV-15 音乐,http://39.135.55.105:6610/PLTV/88888888/224/3221225818/index.m3u8?servicetype=1
CCTV-15 音乐,http://39.135.55.105:6610/PLTV/88888888/224/3221226989/index.m3u8?servicetype=1
CCTV-16 奥林匹克,http://39.135.55.105:6610/PLTV/88888888/224/3221227148/index.m3u8?servicetype=1
CCTV-16 奥林匹克,http://39.135.55.105:6610/PLTV/88888888/224/3221227125/index.m3u8?servicetype=1
CCTV-17 农业,http://39.135.55.105:6610/PLTV/88888888/224/3221226990/index.m3u8?servicetype=1
CCTV-17 农业,http://39.135.55.105:6610/PLTV/88888888/224/3221226986/index.m3u8?servicetype=1

CCTV-1 综合,http://112.50.243.8/PLTV/88888888/224/3221225829/1.m3u8
CCTV-1 综合,http://112.50.243.8/PLTV/88888888/224/3221225922/1.m3u8
CCTV-1 综合,http://112.50.243.8/PLTV/88888888/224/3221226599/1.m3u8
CCTV-1 综合,http://112.50.243.8/PLTV/88888888/224/3221226908/1.m3u8
CCTV-1 综合,http://112.50.243.8/PLTV/88888888/224/3221226995/1.m3u8
CCTV-1 综合,http://112.50.243.8/PLTV/88888888/224/3221227014/1.m3u8
CCTV-2 财经,http://112.50.243.8/PLTV/88888888/224/3221225800/1.m3u8
CCTV-2 财经,http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8
CCTV-2 财经,http://112.50.243.8/PLTV/88888888/224/3221226795/1.m3u8
CCTV-2 财经,http://112.50.243.8/PLTV/88888888/224/3221226915/1.m3u8
CCTV-3 综艺,http://112.50.243.8/PLTV/88888888/224/3221227055/1.m3u8
CCTV-4 中文国际,http://112.50.243.8/PLTV/88888888/224/3221225802/1.m3u8
CCTV-4 中文国际,http://112.50.243.8/PLTV/88888888/224/3221226968/1.m3u8
CCTV-5 体育,http://112.50.243.8/PLTV/88888888/224/3221227170/1.m3u8
CCTV-5+ 体育赛事,http://112.50.243.8/PLTV/88888888/224/3221225821/1.m3u8
CCTV-5+ 体育赛事,http://112.50.243.8/PLTV/88888888/224/3221225939/1.m3u8
CCTV-5+ 体育赛事,http://112.50.243.8/PLTV/88888888/224/3221226919/1.m3u8
CCTV-6 电影,http://112.50.243.8/PLTV/88888888/224/3221227137/1.m3u8
CCTV-7 国防军事,http://112.50.243.8/PLTV/88888888/224/3221225805/1.m3u8
CCTV-7 国防军事,http://112.50.243.8/PLTV/88888888/224/3221225927/1.m3u8
CCTV-7 国防军事,http://112.50.243.8/PLTV/88888888/224/3221226972/1.m3u8
CCTV-8 电视剧,http://112.50.243.8/PLTV/88888888/224/3221227174/1.m3u8
CCTV-9 纪录,http://112.50.243.8/PLTV/88888888/224/3221225820/1.m3u8
CCTV-9 纪录,http://112.50.243.8/PLTV/88888888/224/3221225929/1.m3u8
CCTV-9 纪录,http://112.50.243.8/PLTV/88888888/224/3221226923/1.m3u8
CCTV-10 科教,http://112.50.243.8/PLTV/88888888/224/3221225814/1.m3u8
CCTV-10 科教,http://112.50.243.8/PLTV/88888888/224/3221225931/1.m3u8
CCTV-10 科教,http://112.50.243.8/PLTV/88888888/224/3221226976/1.m3u8
CCTV-11 戏曲,http://112.50.243.8/PLTV/88888888/224/3221225815/1.m3u8
CCTV-11 戏曲,http://112.50.243.8/PLTV/88888888/224/3221226927/1.m3u8
CCTV-12 社会与法,http://112.50.243.8/PLTV/88888888/224/3221225816/1.m3u8
CCTV-12 社会与法,http://112.50.243.8/PLTV/88888888/224/3221225932/1.m3u8
CCTV-12 社会与法,http://112.50.243.8/PLTV/88888888/224/3221226931/1.m3u8
CCTV-13 新闻,http://112.50.243.8/PLTV/88888888/224/3221225817/1.m3u8
CCTV-13 新闻,http://112.50.243.8/PLTV/88888888/224/3221226985/1.m3u8
CCTV-14 少儿,http://112.50.243.8/PLTV/88888888/224/3221225819/1.m3u8
CCTV-14 少儿,http://112.50.243.8/PLTV/88888888/224/3221225933/1.m3u8
CCTV-14 少儿,http://112.50.243.8/PLTV/88888888/224/3221227086/1.m3u8
CCTV-15 音乐,http://112.50.243.8/PLTV/88888888/224/3221225818/1.m3u8
CCTV-15 音乐,http://112.50.243.8/PLTV/88888888/224/3221226989/1.m3u8
CCTV-16 奥林匹克,http://112.50.243.8/PLTV/88888888/224/3221227125/1.m3u8
CCTV-16 奥林匹克,http://112.50.243.8/PLTV/88888888/224/3221227148/1.m3u8
CCTV-17 农业,http://112.50.243.8/PLTV/88888888/224/3221226986/1.m3u8
CCTV-17 农业,http://112.50.243.8/PLTV/88888888/224/3221226990/1.m3u8
